accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,imu_time,fix_type,pdop,num_svs,latitude,longitude,altitude,course_deg,speed,time_of_day,roll,pitch,yaw,baro_pressure_mbar,baro_temp_c,mag_x_cal,mag_y_cal,mag_z_cal
5.0851192,-5.685018,-6.116653,0.0018229168,0.0032817125,-0.009114586,378.0,97.0,148.0,3093187000.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.1831,31.36252,143.68143,970.65,27.725372,-489.41803,54.320156,343.65717
5.0609636,-5.6944227,-6.1321735,0.0014583338,-0.01421833,0.008020826,380.0,96.0,144.0,3094498600.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.180225,31.360352,143.6939,970.65,27.725372,-493.0773,52.508896,336.03223
5.1260486,-5.75644,-6.0929747,-0.016041666,0.0025525093,-0.026250012,377.0,90.0,146.0,3095809800.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.18159,31.361588,143.69197,970.65,27.725372,-487.38086,41.186214,339.85474
5.1083255,-5.746028,-6.1032877,-0.016770832,0.0029170513,-0.025885426,379.0,95.0,150.0,3097121300.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.18199,31.36196,143.68884,970.65045,27.725372,-491.14508,50.61801,347.43826
5.1311145,-5.699342,-6.1053925,0.00036458485,-0.03135383,-0.008020833,379.0,94.0,151.0,3098432800.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.18027,31.363575,143.68079,970.65045,27.725372,-491.0979,48.74971,349.33517
5.1553173,-5.6832857,-6.113099,0.00036458485,0.054687977,0.008749999,381.0,91.0,145.0,3099744300.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.178295,31.367464,143.68759,970.65045,27.725372,-494.7137,43.19235,337.9069
5.10937,-5.7135925,-6.0928326,-0.0328125,0.035729647,-0.008749999,379.0,98.0,146.0,3101055500.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.177746,31.368923,143.69798,970.65045,27.725372,-491.29935,56.22054,339.84827
5.0960093,-5.7051163,-6.103261,-0.03171875,0.051771402,0.008020833,378.0,95.0,147.0,3102367000.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.17663,31.369692,143.70074,970.65045,27.725372,-489.36185,50.57643,341.75317
5.0753145,-5.7393007,-6.1124496,-0.030624999,-0.0010931492,0.025156245,385.0,94.0,147.0,3103678500.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.17648,31.367632,143.71288,970.65045,27.725372,-502.07724,48.946957,341.66168
5.090526,-5.738045,-6.1044855,-0.029895833,-0.017863989,0.024427079,382.0,95.0,146.0,3104989700.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.17652,31.36629,143.72398,970.65045,27.725372,-496.66022,50.711887,339.80295
5.094584,-5.709227,-6.0988665,0.03901042,-0.034270287,0.0069270805,384.0,96.0,143.0,3106301200.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.176453,31.365831,143.74515,970.65045,27.725372,-500.37564,52.64435,334.08203
5.0926676,-5.7297845,-6.137052,0.0040104166,-0.016406178,0.024062492,385.0,88.0,148.0,3107612700.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.17529,31.36411,143.74658,970.65045,27.725372,-501.85776,37.725277,343.5467
5.0951433,-5.7347035,-6.07186,0.02078125,0.0010938644,-0.0094791725,383.0,93.0,152.0,3108924200.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.17746,31.36448,143.74274,970.65045,27.725372,-498.33633,47.01924,351.18118
